Term,Definition,# of mentions in the frameworks
Almanac,"A smart contract deployed on the Fetch.ai blockchain that serves as a registry for uAgents, enabling them to automatically join the network upon startup and register their presence.",1
AgentOS,"A deployment and management platform for AI Agents, providing a K8s-based FastAPI runtime, metric dashboard, and on-premise availability for scalable, isolated, and secure agent integration.",1
Safety Engine,A component that ensures the safe operation of agents by detecting and preventing potential risks or errors. Safety Engines are integrated into the Upsonic Framework to provide a safety-first approach to AI development.,1
"MCP (Model, Component, Pipeline)","A modular construct that combines models, components, and pipelines to define an agent's behavior and interactions. MCPs enable flexible and reusable agent designs within the Upsonic Framework.",1
Graph Execution,"A mechanism for executing tasks in a graph-based architecture, allowing for complex workflows and dependencies.",1
AgentRunContext,An internal context object used to manage the execution of tasks and workflows within an agent.,1
Supervisor Agent,A central agent responsible for coordinating and managing the workflow between specialized agents in a multi-agent system.,1
Embedding,"A high-dimensional representation of text or other data, used to capture semantic meaning and relationships between entities. Embeddings enable agents to perform tasks like similarity search, clustering, and recommendation systems.",1
VoltAgent,A framework for building AI agents that can perform tasks independently or collaboratively with other agents.,1
Trigger,"An event or condition that captures external input, such as a GitHub webhook or cron schedule, and initiates an agent's workflow.",1
Human-in-the-Loop Workflow,"A type of workflow that coordinates multi-step processes and allows for human input at specific points, enabling agents to pause execution and wait for user decisions before continuing.",1
Expense Approval Workflow,An example workflow provided by VoltAgent that demonstrates suspend/resume functionality and auto-approval or manual review of expenses based on their amount.,1
Deep Agent,"A type of agent built using the Deep Agents SDK, capable of handling complex tasks, managing large context, and persisting memory across conversations.",1
Agent Harness,"The core tool calling loop that enables building and executing agents, providing a standardized interface for various agent frameworks.",1
LangGraph Runtime,"A runtime environment that supports durable execution, streaming, human-in-the-loop, and other features for agents built using the LangChain framework.",1
Deep Agents SDK,"A package for building deep agents that can handle complex tasks, manage large context, and persist memory across conversations.",1
Deep Agents CLI,"An interactive terminal coding agent built on top of the Deep Agents package, enabling customization and execution of code in isolated environments.",1
Planning and Task Decomposition,"A core capability of deep agents that enables breaking down complex tasks into discrete steps, tracking progress, and adapting plans as new information emerges.",1
Context Management,"A feature of deep agents that allows offloading large context to in-memory or filesystem storage, preventing context window overflow and enabling work with variable-length tool results.",1
File System Tools,"Utilities such as ls, read_file, write_file, and edit_file that enable agents to manage large context and interact with the file system.",1
Pluggable Filesystem Backends,"A feature of deep agents that allows swapping between in-memory state, local disk, LangGraph store for cross-thread persistence, sandboxes, or custom backends to fit specific use cases.",1
Subagent Spawning,"A capability of deep agents that enables spawning specialized subagents for context isolation, keeping the main agent's context clean while still going deep on specific subtasks.",1
Long-term Memory,"A feature of deep agents that allows extending agents with persistent memory across threads using LangGraph's Memory Store, enabling saving and retrieving information from previous conversations.",1
Memory Store,"A component of the LangGraph runtime that enables agents to persist memory across threads, allowing for stateful behavior and retrieval of information from previous conversations.",1
LangSmith,"A tool that provides deep visibility into complex agent behavior with visualization tools that trace execution paths, capture state transitions, and provide detailed runtime metrics.",1
