Term,Definition,# of mentions in the frameworks
Task Automation,"The process of automating tasks within an application, often involving human-in-the-loop approval processes to ensure that tasks are completed correctly.",1
Kernel,"The core component of the Semantic Kernel framework, responsible for managing agent interactions, executing tasks, and providing services to agents. The kernel acts as a central hub for agent communication and coordination.",1
Service,"A reusable function or module that provides specific capabilities or functionality to agents within the kernel. Services can be used to perform tasks such as chat completion, planning, or data retrieval.",1
ChatCompletion,A service provided by the kernel for generating human-like responses to user input. Chat completion services use AI models to generate text based on context and conversation history.,1
Planning,"The process of generating a sequence of actions or steps to achieve a specific goal or objective. Planning is facilitated by the kernel through the use of planning services, which utilize AI models to generate plans based on context and constraints.",1
ChatHistory,"A data structure used by the kernel to store and manage conversation history between agents and users. Chat history enables agents to recall previous conversations, maintain state, and provide personalized responses.",1
CodeAgent,"A type of agent that writes its actions as Python code snippets, allowing for more efficient and secure execution.",1
ToolCallingAgent,"A standard agent that writes actions as JSON/text blobs, providing a sandboxed environment using Blaxel, E2B, or Docker.",1
LiteLLMModel,"A model that provides access to 100+ LLMs, enabling agents to use a wide range of language models without requiring extensive configuration or setup.",1
InferenceClientModel,"A gateway for all inference providers supported on HF, allowing agents to interact with various models and services through a unified interface.",1
Code Agent,"A type of agent that writes its actions in code to invoke tools or perform computations, enabling natural composability (function nesting, loops, conditionals).",1
Tool Calling Agent,An agent that supports usual JSON/text-based tool-calling for scenarios where that paradigm is preferred.,1
Inference Client Model,A specific type of model that uses the Hugging Face Inference API to interact with an agent.,1
Lite LLM Model,"A lightweight version of a large language model (LLM) that can be used with agents, accessed via APIs such as OpenAI or Anthropic.",1
Transformers Model,"A type of model that uses the Transformers library to interact with an agent, allowing for local model execution.",1
DuckDuckGo Search Tool,A tool that allows agents to search the web using DuckDuckGo's API.,1
Modal,"A sandboxed environment for executing code, providing a secure way to run agents and tools.",1
Blaxel,"A sandboxed environment for executing code, providing a secure way to run agents and tools.",1
E2B,"A sandboxed environment for executing code, providing a secure way to run agents and tools.",1
Docker,A containerization platform that allows agents and tools to be executed in isolated environments.,1
Model Context Protocol (MCP),A standardized interface allowing agents to interact with external tools and access real-world data beyond their language capabilities through STDIO or SSE MCP servers.,1
STDIO MCP Server,"A command-line tool implementing the MCP protocol, enabling agents to connect and perform actions using standardized interfaces.",1
SSE MCP Server,"A web-based MCP server using Server-Sent Events, allowing agents to interact with external tools through a standardized interface for real-world data access.",1
uAgents,A library developed by Fetch.ai for creating autonomous AI agents in Python. uAgents provides a simple and expressive way to create agents that can perform various tasks on a schedule or take action on events.,1
Almanac,"A smart contract deployed on the Fetch.ai blockchain, used by agents to register and join the network of uAgents. The Almanac enables secure registration and identity management for agents.",1
Agent Marketplace,"A platform where agents can be created, managed, and integrated with the Fetch.ai ecosystem. The Agent Marketplace enables developers to build and deploy their own agents using uAgents.",1
AgentOS,"A deployment and management platform for AI Agents, providing a K8s-based FastAPI runtime, metric dashboard, and on-premise availability for scalable, isolated, and secure agent integration.",1
Safety Engine,A component that ensures the safe operation of agents by detecting and preventing potential risks or errors. Safety Engines are integrated into the Upsonic Framework to provide a safety-first approach to AI development.,1
"MCP (Model, Component, Pipeline)","A modular construct that combines models, components, and pipelines to enable flexible and efficient agent development. MCPs allow for the creation of complex agents by combining reusable building blocks.",1
Graph Execution,"A mechanism for executing tasks in a graph-based architecture, allowing for complex workflows and dependencies.",1
AgentRunContext,An internal context object used to manage the execution of tasks and workflows within an agent.,1
Supervisor Agent,A central agent responsible for coordinating and managing the workflow between specialized agents in a multi-agent system.,1
Sub-Agent,"A specialized agent that performs specific tasks or operations within a larger workflow, often under the supervision of a Supervisor Agent.",1
Embedding,"A high-dimensional representation of text or other data, used to capture semantic meaning and relationships between entities. Embeddings enable agents to understand context and make informed decisions based on the meaning of input data.",1
VoltAgent,A framework for building AI agents that can perform tasks independently or collaboratively with other agents.,1
Trigger,"An event or condition that captures external input, such as a GitHub webhook or cron schedule, and initiates an agent's workflow.",1
Human-in-the-Loop Workflow,"A type of workflow that coordinates multi-step processes and allows for human input at specific points, enabling agents to make decisions that require human oversight.",1
Expense Approval Workflow,An example workflow provided by VoltAgent that demonstrates suspend/resume functionality and auto-approval or manual review based on expense amounts.,1
